XIST	EIF1AY	KDM5D	UTY	DDX3Y	RPS4Y1	sex
14	717	2273	354	3491	4377	male
16	695	7119	1203	19411	7994	male
16	1112	4960	561	5874	6356	male
4	996	4799	430	5598	8812	male
9	1162	3941	468	5179	8605	male
7	1679	3541	612	5143	15689	male
4	1228	2929	379	3349	9891	male
12	1474	2830	482	3480	12976	male
6	1256	5917	610	5960	7702	male
27	778	4492	1554	13003	12532	male
26	1158	6075	1800	7373	19559	male
14	1592	5603	1383	10093	18049	male
7	944	7013	1575	5560	8735	male
13	1700	2944	1315	5971	9300	male
32	1593	8437	1403	9556	18799	male
23	952	4547	1315	12143	15368	male
19	850	7779	1262	9125	14272	male
20	411	4736	859	10719	3826	male
13	2877	12784	3284	13165	17643	male
4	767	1704	571	3689	14886	male
9	857	1994	472	2512	4126	male
9	616	4284	750	6568	6129	male
9	683	2176	382	2025	4056	male
17	688	1255	222	1346	4341	male
14	849	4452	1590	4316	10457	male
25	1235	7481	1672	7249	12465	male
12	3655	3372	1162	3368	6815	male
205	1261	7590	2014	7216	10079	male
21	1995	4865	714	6876	6959	male
17	1050	6354	2067	8056	13162	male
22	1234	6405	1206	6641	14801	male
13	812	6674	1594	12060	7831	male
21	822	4995	1329	4235	9279	male
261	1804	4122	1252	14594	6668	male
30	819	5592	854	6241	10927	male
47	1583	9972	1022	8662	14547	male
31	1182	6190	2185	6680	14180	male
68	447	4090	717	5114	3686	male
21	892	3706	733	3010	5091	male
35	1675	8514	1802	11164	9318	male
28930	0	9	0	12	14	female
2523	2	1	0	7	14	female
39528	2	16	6	41	33	female
13689	8	15	10	22	27	female
19444	6	21	4	15	38	female
13205	0	2	0	10	6	female
14243	0	14	6	9	34	female
9378	2	12	3	4	11	female
18995	2	22	5	15	18	female
16667	0	3	2	6	6	female
36720	4	3	2	24	17	female
12634	0	12	7	10	12	female
12457	2	19	9	15	26	female
21697	0	0	0	6	14	female
44467	2	4	0	6	9	female
23135	4	9	2	22	20	female
23086	2	4	0	7	5	female
57162	4	4	0	12	10	female
29766	7	9	4	2	26	female
27403	3	11	2	15	20	female
10347	4	22	2	25	32	female
8682	0	8	5	18	16	female
18147	4	23	8	13	16	female
12588	2	13	7	13	30	female
44675	7	5	2	7	14	female
241	2	3	4	8	10	female
24109	4	21	2	48	106	female
3314	0	4	0	2	2	female
8673	2	3	0	0	8	female
1518	4	16	8	14	36	female
1519	0	6	0	6	2	female
5735	8	9	0	8	11	female
17962	1	18	3	16	12	female
29437	2	7	2	16	33	female
9105	4	12	4	15	15	female
5887	0	8	0	11	17	female
9963	8	20	4	23	37	female
18605	2	25	6	21	27	female
23654	1	9	2	10	19	female
41485	5	14	6	15	28	female
47341	0	13	0	9	24	female
13828	0	8	4	17	25	female
47041	4	26	2	23	30	female
17794	4	14	1	12	12	female
13481	2	4	0	8	8	female
9921	2	8	2	14	26	female
13294	8	4	2	0	23	female
12396	4	16	1	16	24	female
29790	2	8	3	11	29	female
32823	6	11	3	8	11	female
5910	6	7	0	26	23	female
16902	2	4	0	3	13	female
11	193	968	224	856	6235	male
109	897	1876	815	4880	21732	male
58	701	8303	1318	7489	9811	male
9	1476	8359	1190	11569	8618	male
14	2496	3336	1388	12943	11297	male
11	890	10360	1173	25991	13488	male
22	649	4337	1921	10312	7865	male
36	2516	4028	495	13688	7202	male
147	815	2405	426	10911	3314	male
16	1379	4826	815	12395	9940	male
17	2592	2097	2025	7274	7746	male
4	3473	1405	458	740	2905	male
20	2164	1637	671	4636	66961	male
25	1756	11253	1337	7642	12945	male
24	1431	6387	1994	8285	13004	male
20	3191	10474	1926	8045	13578	male
13	1093	2657	886	3096	9066	male
32	1232	10617	2140	7361	13553	male
30	980	3420	1652	3149	7915	male
22	1415	6828	1083	7230	9789	male
17	1221	7528	1001	7142	8351	male
21	706	5726	1104	2533	13605	male
10	1909	2080	740	8977	16879	male
17	1221	7012	960	10374	13246	male
31	1462	10475	1463	5089	7280	male
17	1209	6860	1282	9412	10495	male
11	1706	12112	1958	9065	15311	male
4	1296	5348	1960	9454	18461	male
31	1220	4138	998	4874	12527	male
6	1132	5002	1261	5135	16868	male
314	1117	2660	726	12764	4233	male
12	1172	7922	2216	7625	13662	male
0	2608	2069	897	2393	7564	male
8	1637	5377	959	7331	12950	male
39	976	5463	1683	4634	10466	male
19	689	3865	1774	4474	9638	male
12	1043	5269	1393	6118	11895	male
21	1692	5347	1678	6622	9118	male
3	1049	1776	878	3796	18544	male
11	711	1980	528	2041	4415	male
6	1880	2896	619	2438	9761	male
19	754	3782	2049	4196	8817	male
22	1197	8095	2068	9289	9677	male
21	2168	3067	545	2828	4483	male
22	2612	2231	397	2965	3722	male
35	1316	6846	1389	5952	12410	male
32	1094	6305	1722	7727	10567	male
28	1521	8790	2335	11311	11963	male
20	787	4290	815	4388	7827	male
36	1464	6812	1092	5968	9772	male
217	937	3180	924	7676	4163	male
23	1163	5679	2259	8064	12177	male
44	1216	5345	1734	7530	10014	male
17	2331	2077	865	1572	4674	male
55	1067	5948	1517	6273	11050	male
29	801	4081	1690	4416	10751	male
2537	546	4758	1352	3551	4598	male
27	1382	6460	1209	6252	9361	male
20	1573	5613	1450	6524	5826	male
12	550	4208	768	1878	3064	male
6	1235	2085	721	1398	10550	male
10	766	3666	870	3123	3954	male
10	1022	2760	557	2311	4470	male
5	924	2995	475	2755	4232	male
30	1191	6305	1370	7795	14174	male
10	969	5773	1934	6040	13298	male
21	971	5878	1730	8072	12004	male
29	944	4393	1320	4866	12200	male
18	633	5034	1836	6014	10542	male
4	2305	2088	1025	2078	7016	male
147	852	4695	1414	4392	7708	male
16	1278	5915	1351	6090	8505	male
14	491	3312	623	2358	3321	male
21	603	6034	1328	8048	4852	male
1030	1	16	0	9	10	female
21335	6	8	2	8	42	female
1871	1	10	2	0	7	female
8167	2	3	0	12	10	female
3347	6	11	0	8	13	female
2110	2	4	0	6	11	female
1101	4	4	0	6	4	female
5333	3	3	0	2	8	female
3287	0	20	8	23	17	female
4851	0	4	0	6	16	female
3619	1	13	2	18	11	female
2908	0	4	0	7	10	female
28089	4	23	8	15	28	female
39532	0	7	2	13	16	female
6117	0	15	0	20	20	female
6680	9	43	6	54	41	female
4857	14	70	14	53	88	female
12085	3	13	3	22	25	female
35078	4	8	0	15	25	female
14194	4	5	2	6	13	female
15975	2	13	4	16	31	female
17385	5	12	4	17	23	female
2836	6	23	10	11	25	female
21296	0	17	2	21	26	female
13689	1	2	2	11	16	female
6920	2	6	0	11	9	female
6402	0	12	0	16	13	female
28137	6	15	4	31	30	female
15594	2	8	2	7	16	female
26783	2	6	2	14	5	female
12988	4	7	2	8	24	female
10086	0	10	2	11	23	female
23421	2	15	4	18	22	female
12277	5	9	0	7	12	female
22164	2	5	0	5	11	female
18018	10	14	0	11	29	female
4219	2	23	5	23	33	female
8	810	1502	650	3464	14456	male
5	894	2832	814	2684	5491	male
6	758	5765	1873	7781	6413	male
11	1036	2100	936	2512	7028	male
12	1381	3431	1085	2545	5344	male
30	1059	3546	1829	6465	14859	male
22	1560	2914	1444	4741	18589	male
4	3501	3466	2712	2275	9820	male
69	1226	5303	1855	5229	12385	male
34566	2	5	2	8	15	female
745	2	10	3	15	14	female
29961	5	15	2	7	24	female
8531	0	9	2	11	19	female
6628	8	24	8	18	66	female
18795	2	9	2	21	17	female
8703	4	11	1	6	11	female
12456	2	9	0	7	14	female
7336	0	9	3	23	26	female
12947	4	12	1	16	14	female
11156	4	19	2	16	22	female
10523	2	17	6	10	25	female
11189	0	4	0	6	8	female
